active_decile,total_active,covered_active,coverage_rate
1,872988.0,688612.7769733798,0.7887998196692049
2,1560646.0,1173209.1649395325,0.7517458571255317
3,1666275.0,1224020.1938183066,0.7345847437057548
4,1846294.0,1363444.5931323052,0.7384764252780462
5,1929384.0,1409734.4958820434,0.7306655885412356
6,1985768.0,1410182.0869784094,0.7101444312620656
7,2189059.0,1510843.4525796613,0.690179411600903
8,2303799.0,1596847.4092631666,0.6931366014409966
9,2540543.0,1739022.7532363909,0.6845082933988486
10,3252269.0,2109753.4278417043,0.6487020070731248
