LSOA11CD,Total
E01011949,"1,854"
E01011950,"1,037"
E01011951,"1,203"
E01011952,"1,610"
E01011953,"1,970"
E01011954,"2,308"
E01011955,"1,254"
E01011957,"1,218"
E01011959,"2,869"
E01011960,"1,279"
E01011961,"1,404"
E01011962,"1,423"
E01011963,"1,385"
E01011964,"1,333"
E01011965,"1,615"
E01011966,"1,284"
E01011967,"1,479"
E01011968,"1,985"
E01011969,"1,350"
E01011970,"1,078"
E01011971,"1,326"
E01011974,"1,500"
E01011975,"1,068"
E01011977,"1,731"
E01011978,"1,644"
E01011979,"1,468"
E01011980,"1,727"
E01011981,"1,814"
E01011982,"1,739"
E01011983,"1,679"
E01011984,"1,228"
E01011985,"1,278"
E01011986,"1,252"
E01011987,"1,353"
E01011988,"1,802"
E01011989,"1,873"
E01011990,"1,825"
E01011991,"1,654"
E01011992,"1,867"
E01011993,"1,721"
E01011994,"1,439"
E01011995,"1,272"
E01011996,"1,412"
E01011997,"1,922"
E01011998,"2,156"
E01011999,"1,869"
E01012000,"1,286"
E01012001,"2,125"
E01012002,"1,418"
E01012003,"1,657"
E01012005,"1,860"
E01032540,996
E01032541,"2,157"
E01033465,"1,959"
E01033466,"2,345"
E01033467,"2,264"
E01035188,"1,951"
E01012007,"1,429"
E01012008,"1,395"
E01012009,"1,957"
E01012010,"1,492"
E01012011,"1,964"
E01012012,"1,771"
E01012013,"1,507"
E01012014,"1,586"
E01012015,"1,493"
E01012016,"1,788"
E01012017,"1,513"
E01012018,"1,575"
E01012019,"1,156"
E01012020,"1,464"
E01012021,"1,346"
E01012022,"2,889"
E01012023,"1,496"
E01012024,"1,610"
E01012025,"1,262"
E01012026,"2,069"
E01012027,"1,969"
E01012030,"1,390"
E01012031,"1,474"
E01012032,"1,700"
E01012033,"1,200"
E01012034,"1,357"
E01012035,"1,188"
E01012036,"1,497"
E01012037,"1,478"
E01012038,"1,479"
E01012039,"1,454"
E01012040,"1,337"
E01012041,"1,137"
E01012042,"1,342"
E01012043,"1,280"
E01012044,"1,512"
E01012045,"1,456"
E01012046,"2,033"
E01012047,"1,593"
E01012048,"1,825"
E01012049,"1,269"
E01012050,"1,420"
E01012051,"1,288"
E01012052,"1,231"
E01012053,"1,758"
E01012054,"1,761"
E01012055,"1,941"
E01012056,"2,363"
E01012057,"1,942"
E01012058,"1,679"
E01012059,"1,621"
E01012060,"1,640"
E01012061,"1,231"
E01012062,"1,835"
E01012063,"1,397"
E01012065,"1,902"
E01012066,"1,877"
E01012067,"1,570"
E01012068,"1,820"
E01012071,"1,408"
E01012073,"1,407"
E01012074,"1,528"
E01012075,"1,540"
E01012076,"1,367"
E01012077,"1,504"
E01012078,"1,541"
E01012079,"1,401"
E01012080,"1,163"
E01012081,"1,740"
E01012082,"1,517"
E01012083,"1,616"
E01012084,"1,664"
E01012085,"1,582"
E01012088,"1,742"
E01012089,"1,587"
E01012090,"1,489"
E01012091,"1,972"
E01012092,"1,940"
E01012093,"1,990"
E01032552,"1,622"
E01032593,"2,553"
E01033469,"2,228"
E01035189,"1,275"
E01035190,"1,719"
E01035191,"1,798"
E01035192,"1,248"
E01035193,"1,722"
E01035194,"1,214"
E01035195,"1,608"
E01035196,"1,250"
E01012095,"1,235"
E01012096,"1,449"
E01012097,"1,073"
E01012098,"1,559"
E01012099,"1,529"
E01012100,"1,454"
E01012101,"1,547"
E01012102,"2,108"
E01012105,"1,392"
E01012106,"1,352"
E01012107,"1,342"
E01012108,"1,392"
E01012109,"1,274"
E01012110,"1,278"
E01012111,"1,282"
E01012112,"1,446"
E01012113,"1,471"
E01012114,"1,399"
E01012117,"2,082"
E01012118,"1,327"
E01012119,"2,096"
E01012120,"1,234"
E01012121,"1,290"
E01012124,"1,560"
E01012127,"1,081"
E01012128,"1,377"
E01012129,"2,442"
E01012130,"1,206"
E01012131,"1,382"
E01012132,"1,879"
E01012134,"1,349"
E01012136,"1,399"
E01012137,"1,356"
E01012138,"2,938"
E01012139,"1,762"
E01012140,"1,274"
E01012141,"1,095"
E01012142,"1,602"
E01012143,"1,528"
E01012144,"1,362"
E01012145,"1,422"
E01012146,"1,089"
E01012147,"1,746"
E01012148,"1,419"
E01012149,"1,135"
E01012150,"1,580"
E01012151,"1,409"
E01012152,"1,746"
E01012154,"1,120"
E01012155,"1,811"
E01012156,"1,572"
E01012157,"1,618"
E01012158,"1,529"
E01012159,"1,330"
E01012160,"1,520"
E01012161,"1,485"
E01012162,"1,287"
E01012163,"2,423"
E01012164,"1,540"
E01012165,"2,429"
E01012167,"2,098"
E01012168,"2,016"
E01012170,"1,260"
E01012171,"1,416"
E01012172,"1,277"
E01012173,"1,114"
E01012174,"1,120"
E01012175,"1,387"
E01012176,"1,426"
E01012177,"1,395"
E01012178,"1,332"
E01012179,"2,126"
E01012180,"1,648"
E01012181,"1,575"
E01012182,"1,345"
E01012183,"1,431"
E01012184,"1,392"
E01012185,"1,366"
E01012186,"1,598"
E01032548,"1,643"
E01032549,"2,517"
E01032560,"1,152"
E01032561,"1,459"
E01032594,"1,441"
E01033470,"1,855"
E01033471,"2,124"
E01033472,"2,429"
E01033473,"2,250"
E01012187,"1,211"
E01012188,"1,150"
E01012189,"1,341"
E01012190,"1,409"
E01012191,"1,567"
E01012192,"1,498"
E01012193,"1,528"
E01012194,"1,513"
E01012195,"1,591"
E01012196,"1,541"
E01012197,"1,773"
E01012198,"1,366"
E01012199,"1,343"
E01012200,"1,962"
E01012201,"2,128"
E01012202,"1,633"
E01012203,"1,929"
E01012204,"1,309"
E01012205,"1,372"
E01012206,"1,304"
E01012207,"1,918"
E01012208,"1,563"
E01012209,"1,672"
E01012210,"1,503"
E01012211,"1,781"
E01012212,"1,524"
E01012213,"1,330"
E01012214,"1,554"
E01012215,"1,236"
E01012216,"1,196"
E01012217,"1,335"
E01012218,"1,600"
E01012219,"1,738"
E01012223,"1,479"
E01012224,"1,687"
E01012225,"1,485"
E01012226,"1,369"
E01012227,"1,458"
E01012228,"1,273"
E01012230,"1,619"
E01012231,"1,850"
E01012232,"1,346"
E01012233,"1,797"
E01012234,"1,539"
E01012235,"2,421"
E01012236,"1,260"
E01012237,"1,250"
E01012238,"1,543"
E01012239,"2,494"
E01012240,"1,670"
E01012241,"1,384"
E01012242,"1,422"
E01012243,"1,550"
E01012244,"1,345"
E01012245,"1,571"
E01012246,"1,269"
E01012247,"1,116"
E01012248,"1,252"
E01012249,"1,592"
E01012250,"1,969"
E01012251,"1,514"
E01012252,"1,608"
E01012253,"1,172"
E01012254,"1,317"
E01012255,"1,365"
E01012256,"1,242"
E01012257,"1,388"
E01012258,"2,177"
E01012259,"1,554"
E01012260,"1,590"
E01012261,"1,360"
E01012262,"2,659"
E01012267,"1,740"
E01012268,"2,089"
E01012269,"1,586"
E01012270,"1,354"
E01012271,"1,422"
E01012272,"1,058"
E01012273,"1,541"
E01012274,"1,304"
E01012275,"1,543"
E01012276,"1,703"
E01012277,"1,679"
E01012278,"1,188"
E01012279,"1,667"
E01012280,"1,538"
E01012281,"1,295"
E01012282,"1,174"
E01012283,"1,205"
E01012284,"1,414"
E01012285,"1,242"
E01012286,"1,080"
E01012287,"1,843"
E01012288,"1,239"
E01012289,"1,188"
E01012290,"1,889"
E01012291,"1,881"
E01012292,"2,063"
E01012294,"1,372"
E01012295,"1,414"
E01012296,"1,150"
E01012297,"2,464"
E01012298,"1,296"
E01012299,"1,258"
E01012300,"1,423"
E01012301,"1,275"
E01012302,"1,186"
E01012303,"2,098"
E01032542,"1,890"
E01032543,"2,207"
E01032544,"2,058"
E01033474,"2,746"
E01033475,"1,913"
E01033476,"1,922"
E01033479,"1,799"
E01033480,"2,938"
E01035197,"1,610"
E01035198,"1,589"
E01035199,"1,178"
E01035200,"2,074"
E01035201,"1,693"
E01035202,"1,985"
E01035203,"1,684"
E01035204,"2,511"
E01012304,"1,048"
E01012305,"1,071"
E01012306,"1,419"
E01012307,"2,246"
E01012309,"1,943"
E01012310,"2,159"
E01012311,"1,483"
E01012312,"1,361"
E01012313,"1,440"
E01012314,"1,350"
E01012315,"1,645"
E01012317,"1,317"
E01012318,"2,374"
E01012319,"2,732"
E01012323,"1,423"
E01012324,"1,323"
E01012325,"1,383"
E01012326,"1,104"
E01012327,"1,640"
E01012328,"1,493"
E01012329,"1,721"
E01012330,"1,062"
E01012331,"1,141"
E01012332,"1,418"
E01012333,"1,640"
E01012334,"2,738"
E01012335,"1,546"
E01012336,"1,655"
E01012337,"1,848"
E01012338,"2,155"
E01012339,"1,962"
E01012340,"2,309"
E01012341,"1,660"
E01012342,"2,717"
E01012344,"1,456"
E01012345,"1,592"
E01012346,"2,277"
E01012347,"1,715"
E01012348,"2,145"
E01012349,"1,447"
E01012350,"1,376"
E01012351,"1,338"
E01012352,"1,456"
E01012353,"1,502"
E01012354,"1,518"
E01012355,"1,399"
E01012356,"1,602"
E01012357,"1,316"
E01012358,"1,592"
E01012359,"1,788"
E01012360,"1,798"
E01012361,"1,904"
E01012362,"1,215"
E01012363,"1,247"
E01012364,"1,348"
E01012365,"1,196"
E01012366,"1,971"
E01032545,"1,747"
E01032546,"1,760"
E01033481,"1,774"
E01033482,"1,668"
E01035183,"1,521"
E01035184,"1,320"
E01035185,"1,500"
E01035186,"1,134"
E01035187,"2,062"
E01012367,"1,839"
E01012368,"2,053"
E01012369,"1,752"
E01012370,"1,857"
E01012371,"1,196"
E01012372,"1,108"
E01012373,"1,217"
E01012374,"2,730"
E01012375,"1,476"
E01012376,"2,774"
E01012377,"1,721"
E01012378,"1,558"
E01012379,"1,695"
E01012380,"1,475"
E01012381,"1,699"
E01012382,"1,615"
E01012383,"1,556"
E01012384,"1,603"
E01012385,"2,090"
E01012386,"2,663"
E01012387,"1,061"
E01012388,"1,757"
E01012389,"1,722"
E01012390,"1,591"
E01012391,"2,139"
E01012392,"2,924"
E01012393,"2,915"
E01012394,"1,918"
E01012395,"1,653"
